what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234214369
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430234217039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234222347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234233273
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234245505
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430234247177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234247337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234249112
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234249973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234251847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234273978
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430234282711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234288313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234293948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234300476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234306396
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234307905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430234308460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430234310160
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430234312969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234319211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234462275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234463520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234500892
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1430234501003
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1430234501046
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430234501290
activated,perspective,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui.atlPerspective",1430234501362
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234501372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234501461
started,bundle,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor",1430234501529
started,bundle,org.eclipse.m2m.atl.core,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.core",1430234501606
started,bundle,org.eclipse.m2m.atl.engine.emfvm,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.engine.emfvm",1430234501616
started,bundle,org.eclipse.m2m.atl.dsls,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.dsls",1430234502060
opened,editor,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor.AtlEditor",1430234502806
activated,editor,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor.AtlEditor",1430234502872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234502936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1430234503004
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234505398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234506295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234506358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430234506377
activated,editor,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor.AtlEditor",1430234507678
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430234508795
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1430234508798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234513006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234534198
activated,editor,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor.AtlEditor",1430234538415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430234541082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430234541874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234545883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234564486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430234565992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430234572214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234581728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234593903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430234595476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234599054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234600873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234620038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234624230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234628570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235226171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430235229429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235290896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235357905
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430235359922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235363094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235369055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235374347
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1430235400943
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1430235400960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235401026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235403452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235407770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235409098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430235416297
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1430235428805
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1430235428837
activated,editor,org.eclipse.m2m.atl.adt.editor,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.editor.AtlEditor",1430235430733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430235432254
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1430235434309
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430235437464
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1430235439258
